Date de comptabilisation;Libelle simplifie;Libelle operation;Reference;Informations complementaires;Type operation;Categorie;Sous categorie;Debit;Credit;Date operation;Date de valeur;Pointage operation
28/05/2026;ATELIER HORIZON DEMO;VIR SEPA ATELIER HORIZON SALAIRE 2026-05;DEMO202605000386;SALAIRE NET 2026-05 DONNEES FICTIVES;Virement recu;Salaire et revenus;Salaire;;+2980,00;28/05/2026;28/05/2026;0
27/05/2026;MONOPRIX;CB MONOPRIX FACT 260526;DEMO202605000403;;Carte bancaire;Alimentation;Supermarche;-101,00;;26/05/2026;27/05/2026;0
26/05/2026;UBER;CB UBER TRIP FACT 250526;DEMO202605000407;;Carte bancaire;Transport;Taxi et VTC;-11,28;;25/05/2026;26/05/2026;0
24/05/2026;NAVIGO;PRLV SEPA NAVIGO 2026-05;DEMO202605000396;ABONNEMENT DEMO;Prelevement;Transport;Transports en commun;-86,40;;24/05/2026;24/05/2026;0
23/05/2026;CAFE REPUBLIQUE;CB CAFE REPUBLIQUE FACT 220526;DEMO202605000405;;Carte bancaire;Alimentation;Restaurants et cafes;-18,44;;22/05/2026;23/05/2026;0
21/05/2026;BASIC FIT;PRLV SEPA BASIC FIT 2026-05;DEMO202605000395;ABONNEMENT DEMO;Prelevement;Sante et bien-etre;Sport;-24,99;;21/05/2026;21/05/2026;0
21/05/2026;INTERMARCHE;CB INTERMARCHE FACT 200526;DEMO202605000402;;Carte bancaire;Alimentation;Supermarche;-49,06;;20/05/2026;21/05/2026;0
19/05/2026;OPENAI CHATGPT;CB OPENAI CHATGPT 2026-05;DEMO202605000394;ABONNEMENT DEMO;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/05/2026;19/05/2026;0
19/05/2026;OPENAI CHATGPT;CB OPENAI CHATGPT FACT 180526;DEMO202605000440;DOUBLON VOLONTAIRE POUR DEMONSTRATION;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/05/2026;19/05/2026;0
18/05/2026;COTISATIONS BANCAIRES;COTISATION BOUQUET DEMO;DEMO202605000397;;Frais bancaires;Banque et assurances;Frais bancaires;-9,90;;18/05/2026;18/05/2026;0
18/05/2026;REMISE COTISATIONS;REMISE SERVICES BOUQUET DEMO;DEMO202605000398;;Frais bancaires;Banque et assurances;Frais bancaires;;+4,95;18/05/2026;18/05/2026;0
18/05/2026;PHARMACIE CENTRALE;CB PHARMACIE CENTRALE FACT 170526;DEMO202605000409;;Carte bancaire;Sante et bien-etre;Pharmacie;-35,27;;17/05/2026;18/05/2026;0
17/05/2026;NETFLIX;CB NETFLIX 2026-05;DEMO202605000393;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Video;-13,49;;16/05/2026;17/05/2026;0
15/05/2026;LIDL;CB LIDL FACT 140526;DEMO202605000401;;Carte bancaire;Alimentation;Supermarche;-88,62;;14/05/2026;15/05/2026;0
15/05/2026;SPOTIFY;CB SPOTIFY 2026-05;DEMO202605000392;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Musique;-11,12;;14/05/2026;15/05/2026;0
14/05/2026;FNAC DIRECT;CB FNAC DIRECT FACT 130526;DEMO202605000408;;Carte bancaire;Shopping et services;Shopping et services - autre;-106,53;;13/05/2026;14/05/2026;0
12/05/2026;ASSURANCE SERENITE;PRLV SEPA ASSURANCE SERENITE 2026-05;DEMO202605000391;ABONNEMENT DEMO;Prelevement;Banque et assurances;Assurance habitation;-38,60;;12/05/2026;12/05/2026;0
11/05/2026;MOBILE NOVA;PRLV SEPA MOBILE NOVA 2026-05;DEMO202605000390;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Telephone mobile;-14,99;;11/05/2026;11/05/2026;0
11/05/2026;UBER;CB UBER TRIP FACT 100526;DEMO202605000406;;Carte bancaire;Transport;Taxi et VTC;-14,39;;10/05/2026;11/05/2026;0
09/05/2026;FIBRE NOVA;PRLV SEPA FIBRE NOVA 2026-05;DEMO202605000389;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Internet;-29,99;;09/05/2026;09/05/2026;0
09/05/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 080526;DEMO202605000400;;Carte bancaire;Alimentation;Supermarche;-96,10;;08/05/2026;09/05/2026;0
07/05/2026;ENERGIE CLAIRE;PRLV SEPA ENERGIE CLAIRE 2026-05;DEMO202605000388;NOUVEAU TARIF ENERGIE DEMO;Prelevement;Logement et immobilier;Electricite, gaz et eau;-104,00;;07/05/2026;07/05/2026;0
07/05/2026;CAFE REPUBLIQUE;CB CAFE REPUBLIQUE FACT 060526;DEMO202605000404;;Carte bancaire;Alimentation;Restaurants et cafes;-44,29;;06/05/2026;07/05/2026;0
07/05/2026;FNAC DIRECT;CB FNAC DIRECT ORDINATEUR DEMO;DEMO202605000439;OPERATION EXCEPTIONNELLE DEMO;Carte bancaire;Shopping et services;Electronique;-689,90;;06/05/2026;07/05/2026;0
03/05/2026;RESIDENCE DES LILAS;VIR SEPA LOYER 2026-05;DEMO202605000387;LOYER ET CHARGES DONNEES FICTIVES;Virement;Logement et immobilier;Loyer et charges;-820,00;;03/05/2026;03/05/2026;0
03/05/2026;MONOPRIX;CB MONOPRIX FACT 020526;DEMO202605000399;;Carte bancaire;Alimentation;Supermarche;-58,44;;02/05/2026;03/05/2026;0
28/04/2026;ATELIER HORIZON DEMO;VIR SEPA ATELIER HORIZON SALAIRE 2026-04;DEMO202604000363;SALAIRE NET 2026-04 DONNEES FICTIVES;Virement recu;Salaire et revenus;Salaire;;+2980,00;28/04/2026;28/04/2026;0
27/04/2026;LIDL;CB LIDL FACT 260426;DEMO202604000380;;Carte bancaire;Alimentation;Supermarche;-76,39;;26/04/2026;27/04/2026;0
26/04/2026;UBER;CB UBER TRIP FACT 250426;DEMO202604000384;;Carte bancaire;Transport;Taxi et VTC;-19,12;;25/04/2026;26/04/2026;0
24/04/2026;NAVIGO;PRLV SEPA NAVIGO 2026-04;DEMO202604000373;ABONNEMENT DEMO;Prelevement;Transport;Transports en commun;-86,40;;24/04/2026;24/04/2026;0
23/04/2026;PIZZA ROMA;CB PIZZA ROMA FACT 220426;DEMO202604000382;;Carte bancaire;Alimentation;Restaurants et cafes;-36,25;;22/04/2026;23/04/2026;0
21/04/2026;BASIC FIT;PRLV SEPA BASIC FIT 2026-04;DEMO202604000372;ABONNEMENT DEMO;Prelevement;Sante et bien-etre;Sport;-24,99;;21/04/2026;21/04/2026;0
21/04/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 200426;DEMO202604000379;;Carte bancaire;Alimentation;Supermarche;-48,52;;20/04/2026;21/04/2026;0
19/04/2026;OPENAI CHATGPT;CB OPENAI CHATGPT 2026-04;DEMO202604000371;ABONNEMENT DEMO;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/04/2026;19/04/2026;0
18/04/2026;COTISATIONS BANCAIRES;COTISATION BOUQUET DEMO;DEMO202604000374;;Frais bancaires;Banque et assurances;Frais bancaires;-9,90;;18/04/2026;18/04/2026;0
18/04/2026;REMISE COTISATIONS;REMISE SERVICES BOUQUET DEMO;DEMO202604000375;;Frais bancaires;Banque et assurances;Frais bancaires;;+4,95;18/04/2026;18/04/2026;0
17/04/2026;NETFLIX;CB NETFLIX 2026-04;DEMO202604000370;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Video;-13,49;;16/04/2026;17/04/2026;0
15/04/2026;MONOPRIX;CB MONOPRIX FACT 140426;DEMO202604000378;;Carte bancaire;Alimentation;Supermarche;-82,71;;14/04/2026;15/04/2026;0
15/04/2026;SPOTIFY;CB SPOTIFY 2026-04;DEMO202604000369;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Musique;-11,12;;14/04/2026;15/04/2026;0
14/04/2026;DECATHLON;CB DECATHLON FACT 130426;DEMO202604000385;;Carte bancaire;Shopping et services;Shopping et services - autre;-58,36;;13/04/2026;14/04/2026;0
12/04/2026;ASSURANCE SERENITE;PRLV SEPA ASSURANCE SERENITE 2026-04;DEMO202604000368;ABONNEMENT DEMO;Prelevement;Banque et assurances;Assurance habitation;-38,60;;12/04/2026;12/04/2026;0
11/04/2026;MOBILE NOVA;PRLV SEPA MOBILE NOVA 2026-04;DEMO202604000367;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Telephone mobile;-14,99;;11/04/2026;11/04/2026;0
11/04/2026;UBER;CB UBER TRIP FACT 100426;DEMO202604000383;;Carte bancaire;Transport;Taxi et VTC;-10,05;;10/04/2026;11/04/2026;0
09/04/2026;FIBRE NOVA;PRLV SEPA FIBRE NOVA 2026-04;DEMO202604000366;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Internet;-29,99;;09/04/2026;09/04/2026;0
09/04/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 080426;DEMO202604000377;;Carte bancaire;Alimentation;Supermarche;-51,91;;08/04/2026;09/04/2026;0
07/04/2026;ENERGIE CLAIRE;PRLV SEPA ENERGIE CLAIRE 2026-04;DEMO202604000365;NOUVEAU TARIF ENERGIE DEMO;Prelevement;Logement et immobilier;Electricite, gaz et eau;-111,00;;07/04/2026;07/04/2026;0
07/04/2026;CAFE REPUBLIQUE;CB CAFE REPUBLIQUE FACT 060426;DEMO202604000381;;Carte bancaire;Alimentation;Restaurants et cafes;-49,63;;06/04/2026;07/04/2026;0
03/04/2026;RESIDENCE DES LILAS;VIR SEPA LOYER 2026-04;DEMO202604000364;LOYER ET CHARGES DONNEES FICTIVES;Virement;Logement et immobilier;Loyer et charges;-820,00;;03/04/2026;03/04/2026;0
03/04/2026;MONOPRIX;CB MONOPRIX FACT 020426;DEMO202604000376;;Carte bancaire;Alimentation;Supermarche;-78,45;;02/04/2026;03/04/2026;0
28/03/2026;ATELIER HORIZON DEMO;VIR SEPA ATELIER HORIZON SALAIRE 2026-03;DEMO202603000338;SALAIRE NET 2026-03 DONNEES FICTIVES;Virement recu;Salaire et revenus;Salaire;;+2980,00;28/03/2026;28/03/2026;0
27/03/2026;LIDL;CB LIDL FACT 260326;DEMO202603000356;;Carte bancaire;Alimentation;Supermarche;-107,76;;26/03/2026;27/03/2026;0
26/03/2026;UBER;CB UBER TRIP FACT 250326;DEMO202603000360;;Carte bancaire;Transport;Taxi et VTC;-20,65;;25/03/2026;26/03/2026;0
24/03/2026;NAVIGO;PRLV SEPA NAVIGO 2026-03;DEMO202603000349;ABONNEMENT DEMO;Prelevement;Transport;Transports en commun;-86,40;;24/03/2026;24/03/2026;0
23/03/2026;BISTROT CENTRAL;CB BISTROT CENTRAL FACT 220326;DEMO202603000358;;Carte bancaire;Alimentation;Restaurants et cafes;-23,33;;22/03/2026;23/03/2026;0
21/03/2026;BASIC FIT;PRLV SEPA BASIC FIT 2026-03;DEMO202603000348;ABONNEMENT DEMO;Prelevement;Sante et bien-etre;Sport;-24,99;;21/03/2026;21/03/2026;0
21/03/2026;LIDL;CB LIDL FACT 200326;DEMO202603000355;;Carte bancaire;Alimentation;Supermarche;-80,63;;20/03/2026;21/03/2026;0
20/03/2026;MISSION FREELANCE DEMO;VIR SEPA MISSION FREELANCE DEMO;DEMO202603000339;MISSION TRIMESTRIELLE 2026-03;Virement recu;Salaire et revenus;Revenus complementaires;;+793,73;20/03/2026;20/03/2026;0
19/03/2026;OPENAI CHATGPT;CB OPENAI CHATGPT 2026-03;DEMO202603000347;ABONNEMENT DEMO;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/03/2026;19/03/2026;0
18/03/2026;COTISATIONS BANCAIRES;COTISATION BOUQUET DEMO;DEMO202603000350;;Frais bancaires;Banque et assurances;Frais bancaires;-9,90;;18/03/2026;18/03/2026;0
18/03/2026;REMISE COTISATIONS;REMISE SERVICES BOUQUET DEMO;DEMO202603000351;;Frais bancaires;Banque et assurances;Frais bancaires;;+4,95;18/03/2026;18/03/2026;0
18/03/2026;PHARMACIE CENTRALE;CB PHARMACIE CENTRALE FACT 170326;DEMO202603000362;;Carte bancaire;Sante et bien-etre;Pharmacie;-12,95;;17/03/2026;18/03/2026;0
17/03/2026;NETFLIX;CB NETFLIX 2026-03;DEMO202603000346;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Video;-13,49;;16/03/2026;17/03/2026;0
15/03/2026;DIRECTION GENERALE FINANCES;VIR REMBOURSEMENT IMPOT DEMO;DEMO202603000438;OPERATION EXCEPTIONNELLE DEMO;Virement recu;Impots et taxes;Remboursement;;+184,20;15/03/2026;15/03/2026;0
15/03/2026;MONOPRIX;CB MONOPRIX FACT 140326;DEMO202603000354;;Carte bancaire;Alimentation;Supermarche;-73,74;;14/03/2026;15/03/2026;0
15/03/2026;SPOTIFY;CB SPOTIFY 2026-03;DEMO202603000345;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Musique;-11,12;;14/03/2026;15/03/2026;0
14/03/2026;AMAZON DEMO;CB AMAZON DEMO FACT 130326;DEMO202603000361;;Carte bancaire;Shopping et services;Shopping et services - autre;-116,68;;13/03/2026;14/03/2026;0
12/03/2026;ASSURANCE SERENITE;PRLV SEPA ASSURANCE SERENITE 2026-03;DEMO202603000344;ABONNEMENT DEMO;Prelevement;Banque et assurances;Assurance habitation;-38,60;;12/03/2026;12/03/2026;0
11/03/2026;MOBILE NOVA;PRLV SEPA MOBILE NOVA 2026-03;DEMO202603000343;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Telephone mobile;-14,99;;11/03/2026;11/03/2026;0
11/03/2026;UBER;CB UBER TRIP FACT 100326;DEMO202603000359;;Carte bancaire;Transport;Taxi et VTC;-25,32;;10/03/2026;11/03/2026;0
09/03/2026;FIBRE NOVA;PRLV SEPA FIBRE NOVA 2026-03;DEMO202603000342;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Internet;-29,99;;09/03/2026;09/03/2026;0
09/03/2026;MONOPRIX;CB MONOPRIX FACT 080326;DEMO202603000353;;Carte bancaire;Alimentation;Supermarche;-74,44;;08/03/2026;09/03/2026;0
07/03/2026;ENERGIE CLAIRE;PRLV SEPA ENERGIE CLAIRE 2026-03;DEMO202603000341;NOUVEAU TARIF ENERGIE DEMO;Prelevement;Logement et immobilier;Electricite, gaz et eau;-118,00;;07/03/2026;07/03/2026;0
07/03/2026;CAFE REPUBLIQUE;CB CAFE REPUBLIQUE FACT 060326;DEMO202603000357;;Carte bancaire;Alimentation;Restaurants et cafes;-24,27;;06/03/2026;07/03/2026;0
03/03/2026;RESIDENCE DES LILAS;VIR SEPA LOYER 2026-03;DEMO202603000340;LOYER ET CHARGES DONNEES FICTIVES;Virement;Logement et immobilier;Loyer et charges;-820,00;;03/03/2026;03/03/2026;0
03/03/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 020326;DEMO202603000352;;Carte bancaire;Alimentation;Supermarche;-99,53;;02/03/2026;03/03/2026;0
28/02/2026;ATELIER HORIZON DEMO;VIR SEPA ATELIER HORIZON SALAIRE 2026-02;DEMO202602000314;SALAIRE NET 2026-02 DONNEES FICTIVES;Virement recu;Salaire et revenus;Salaire;;+2980,00;28/02/2026;28/02/2026;0
27/02/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 260226;DEMO202602000331;;Carte bancaire;Alimentation;Supermarche;-94,88;;26/02/2026;27/02/2026;0
26/02/2026;UBER;CB UBER TRIP FACT 250226;DEMO202602000335;;Carte bancaire;Transport;Taxi et VTC;-27,62;;25/02/2026;26/02/2026;0
24/02/2026;NAVIGO;PRLV SEPA NAVIGO 2026-02;DEMO202602000324;ABONNEMENT DEMO;Prelevement;Transport;Transports en commun;-86,40;;24/02/2026;24/02/2026;0
23/02/2026;SUSHI DEMO;CB SUSHI DEMO FACT 220226;DEMO202602000333;;Carte bancaire;Alimentation;Restaurants et cafes;-47,28;;22/02/2026;23/02/2026;0
21/02/2026;BASIC FIT;PRLV SEPA BASIC FIT 2026-02;DEMO202602000323;ABONNEMENT DEMO;Prelevement;Sante et bien-etre;Sport;-24,99;;21/02/2026;21/02/2026;0
21/02/2026;MONOPRIX;CB MONOPRIX FACT 200226;DEMO202602000330;;Carte bancaire;Alimentation;Supermarche;-92,41;;20/02/2026;21/02/2026;0
19/02/2026;REMBOURSEMENT GROUPE DEMO;VIR SEPA REMBOURSEMENT GROUPE DEMO;DEMO202602000337;PARTAGE DE DEPENSES FICTIF;Virement recu;Virements;Remboursement entre proches;;+60,51;19/02/2026;19/02/2026;0
19/02/2026;OPENAI CHATGPT;CB OPENAI CHATGPT 2026-02;DEMO202602000322;ABONNEMENT DEMO;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/02/2026;19/02/2026;0
18/02/2026;COTISATIONS BANCAIRES;COTISATION BOUQUET DEMO;DEMO202602000325;;Frais bancaires;Banque et assurances;Frais bancaires;-9,90;;18/02/2026;18/02/2026;0
18/02/2026;REMISE COTISATIONS;REMISE SERVICES BOUQUET DEMO;DEMO202602000326;;Frais bancaires;Banque et assurances;Frais bancaires;;+4,95;18/02/2026;18/02/2026;0
17/02/2026;NETFLIX;CB NETFLIX 2026-02;DEMO202602000321;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Video;-13,49;;16/02/2026;17/02/2026;0
15/02/2026;MONOPRIX;CB MONOPRIX FACT 140226;DEMO202602000329;;Carte bancaire;Alimentation;Supermarche;-79,12;;14/02/2026;15/02/2026;0
15/02/2026;SPOTIFY;CB SPOTIFY 2026-02;DEMO202602000320;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Musique;-11,12;;14/02/2026;15/02/2026;0
14/02/2026;FNAC DIRECT;CB FNAC DIRECT FACT 130226;DEMO202602000336;;Carte bancaire;Shopping et services;Shopping et services - autre;-111,46;;13/02/2026;14/02/2026;0
12/02/2026;ASSURANCE SERENITE;PRLV SEPA ASSURANCE SERENITE 2026-02;DEMO202602000319;ABONNEMENT DEMO;Prelevement;Banque et assurances;Assurance habitation;-38,60;;12/02/2026;12/02/2026;0
11/02/2026;MOBILE NOVA;PRLV SEPA MOBILE NOVA 2026-02;DEMO202602000318;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Telephone mobile;-14,99;;11/02/2026;11/02/2026;0
11/02/2026;UBER;CB UBER TRIP FACT 100226;DEMO202602000334;;Carte bancaire;Transport;Taxi et VTC;-12,51;;10/02/2026;11/02/2026;0
09/02/2026;FIBRE NOVA;PRLV SEPA FIBRE NOVA 2026-02;DEMO202602000317;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Internet;-29,99;;09/02/2026;09/02/2026;0
09/02/2026;LIDL;CB LIDL FACT 080226;DEMO202602000328;;Carte bancaire;Alimentation;Supermarche;-41,72;;08/02/2026;09/02/2026;0
07/02/2026;ENERGIE CLAIRE;PRLV SEPA ENERGIE CLAIRE 2026-02;DEMO202602000316;NOUVEAU TARIF ENERGIE DEMO;Prelevement;Logement et immobilier;Electricite, gaz et eau;-126,00;;07/02/2026;07/02/2026;0
07/02/2026;PIZZA ROMA;CB PIZZA ROMA FACT 060226;DEMO202602000332;;Carte bancaire;Alimentation;Restaurants et cafes;-18,64;;06/02/2026;07/02/2026;0
03/02/2026;RESIDENCE DES LILAS;VIR SEPA LOYER 2026-02;DEMO202602000315;LOYER ET CHARGES DONNEES FICTIVES;Virement;Logement et immobilier;Loyer et charges;-820,00;;03/02/2026;03/02/2026;0
03/02/2026;MONOPRIX;CB MONOPRIX FACT 020226;DEMO202602000327;;Carte bancaire;Alimentation;Supermarche;-42,90;;02/02/2026;03/02/2026;0
28/01/2026;ATELIER HORIZON DEMO;VIR SEPA ATELIER HORIZON SALAIRE 2026-01;DEMO202601000290;SALAIRE NET 2026-01 DONNEES FICTIVES;Virement recu;Salaire et revenus;Salaire;;+2980,00;28/01/2026;28/01/2026;0
27/01/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 260126;DEMO202601000307;;Carte bancaire;Alimentation;Supermarche;-89,79;;26/01/2026;27/01/2026;0
26/01/2026;UBER;CB UBER TRIP FACT 250126;DEMO202601000311;;Carte bancaire;Transport;Taxi et VTC;-14,86;;25/01/2026;26/01/2026;0
24/01/2026;NAVIGO;PRLV SEPA NAVIGO 2026-01;DEMO202601000300;ABONNEMENT DEMO;Prelevement;Transport;Transports en commun;-86,40;;24/01/2026;24/01/2026;0
23/01/2026;SUSHI DEMO;CB SUSHI DEMO FACT 220126;DEMO202601000309;;Carte bancaire;Alimentation;Restaurants et cafes;-26,30;;22/01/2026;23/01/2026;0
21/01/2026;BASIC FIT;PRLV SEPA BASIC FIT 2026-01;DEMO202601000299;ABONNEMENT DEMO;Prelevement;Sante et bien-etre;Sport;-24,99;;21/01/2026;21/01/2026;0
21/01/2026;INTERMARCHE;CB INTERMARCHE FACT 200126;DEMO202601000306;;Carte bancaire;Alimentation;Supermarche;-38,07;;20/01/2026;21/01/2026;0
19/01/2026;OPENAI CHATGPT;CB OPENAI CHATGPT 2026-01;DEMO202601000298;ABONNEMENT DEMO;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/01/2026;19/01/2026;0
18/01/2026;COTISATIONS BANCAIRES;COTISATION BOUQUET DEMO;DEMO202601000301;;Frais bancaires;Banque et assurances;Frais bancaires;-9,90;;18/01/2026;18/01/2026;0
18/01/2026;REMISE COTISATIONS;REMISE SERVICES BOUQUET DEMO;DEMO202601000302;;Frais bancaires;Banque et assurances;Frais bancaires;;+4,95;18/01/2026;18/01/2026;0
18/01/2026;PHARMACIE CENTRALE;CB PHARMACIE CENTRALE FACT 170126;DEMO202601000313;;Carte bancaire;Sante et bien-etre;Pharmacie;-39,83;;17/01/2026;18/01/2026;0
17/01/2026;NETFLIX;CB NETFLIX 2026-01;DEMO202601000297;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Video;-13,49;;16/01/2026;17/01/2026;0
15/01/2026;LIDL;CB LIDL FACT 140126;DEMO202601000305;;Carte bancaire;Alimentation;Supermarche;-59,85;;14/01/2026;15/01/2026;0
15/01/2026;SPOTIFY;CB SPOTIFY 2026-01;DEMO202601000296;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Musique;-11,12;;14/01/2026;15/01/2026;0
14/01/2026;DECATHLON;CB DECATHLON FACT 130126;DEMO202601000312;;Carte bancaire;Shopping et services;Shopping et services - autre;-107,90;;13/01/2026;14/01/2026;0
12/01/2026;ASSURANCE SERENITE;PRLV SEPA ASSURANCE SERENITE 2026-01;DEMO202601000295;ABONNEMENT DEMO;Prelevement;Banque et assurances;Assurance habitation;-38,60;;12/01/2026;12/01/2026;0
