Posting Date;Simplified Description;Transaction Description;Reference;Additional Information;Transaction Type;Category;Subcategory;Debit;Credit;Transaction Date;Value Date;Reconciliation Flag
07/06/2026;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2026-06;DEMO202606000413;NEW DEMO ENERGY RATE;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-98,00;;07/06/2026;07/06/2026;0
07/06/2026;CENTRAL BISTRO;CARD CENTRAL BISTRO PURCHASE 060626;DEMO202606000429;;Card Payment;Food;Restaurants & Cafes;-48,96;;06/06/2026;07/06/2026;0
03/06/2026;LILAC RESIDENCE;SEPA TRANSFER RENT 2026-06;DEMO202606000412;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/06/2026;03/06/2026;0
03/06/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 020626;DEMO202606000424;;Card Payment;Food;Supermarket;-105,70;;02/06/2026;03/06/2026;0
28/05/2026;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2026-05;DEMO202605000386;NET SALARY 2026-05 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2980,00;28/05/2026;28/05/2026;0
27/05/2026;MONOPRIX;CARD MONOPRIX PURCHASE 260526;DEMO202605000403;;Card Payment;Food;Supermarket;-101,00;;26/05/2026;27/05/2026;0
26/05/2026;UBER;CARD UBER TRIP PURCHASE 250526;DEMO202605000407;;Card Payment;Transportation;Taxi & Ride-Hailing;-11,28;;25/05/2026;26/05/2026;0
24/05/2026;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2026-05;DEMO202605000396;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/05/2026;24/05/2026;0
23/05/2026;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 220526;DEMO202605000405;;Card Payment;Food;Restaurants & Cafes;-18,44;;22/05/2026;23/05/2026;0
21/05/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2026-05;DEMO202605000395;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/05/2026;21/05/2026;0
21/05/2026;INTERMARCHE;CARD INTERMARCHE PURCHASE 200526;DEMO202605000402;;Card Payment;Food;Supermarket;-49,06;;20/05/2026;21/05/2026;0
19/05/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT 2026-05;DEMO202605000394;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/05/2026;19/05/2026;0
19/05/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT PURCHASE 180526;DEMO202605000440;INTENTIONAL DUPLICATE FOR DEMONSTRATION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/05/2026;19/05/2026;0
18/05/2026;BANK FEES;DEMO PACKAGE FEE;DEMO202605000397;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/05/2026;18/05/2026;0
18/05/2026;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202605000398;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/05/2026;18/05/2026;0
18/05/2026;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170526;DEMO202605000409;;Card Payment;Health & Wellness;Pharmacy;-35,27;;17/05/2026;18/05/2026;0
17/05/2026;NETFLIX;CARD NETFLIX 2026-05;DEMO202605000393;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/05/2026;17/05/2026;0
15/05/2026;LIDL;CARD LIDL PURCHASE 140526;DEMO202605000401;;Card Payment;Food;Supermarket;-88,62;;14/05/2026;15/05/2026;0
15/05/2026;SPOTIFY;CARD SPOTIFY 2026-05;DEMO202605000392;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/05/2026;15/05/2026;0
14/05/2026;FNAC DIRECT;CARD FNAC DIRECT PURCHASE 130526;DEMO202605000408;;Card Payment;Shopping & Services;Shopping & Services - Other;-106,53;;13/05/2026;14/05/2026;0
12/05/2026;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2026-05;DEMO202605000391;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/05/2026;12/05/2026;0
11/05/2026;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2026-05;DEMO202605000390;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/05/2026;11/05/2026;0
11/05/2026;UBER;CARD UBER TRIP PURCHASE 100526;DEMO202605000406;;Card Payment;Transportation;Taxi & Ride-Hailing;-14,39;;10/05/2026;11/05/2026;0
09/05/2026;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2026-05;DEMO202605000389;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/05/2026;09/05/2026;0
09/05/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 080526;DEMO202605000400;;Card Payment;Food;Supermarket;-96,10;;08/05/2026;09/05/2026;0
07/05/2026;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2026-05;DEMO202605000388;NEW DEMO ENERGY RATE;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-104,00;;07/05/2026;07/05/2026;0
07/05/2026;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 060526;DEMO202605000404;;Card Payment;Food;Restaurants & Cafes;-44,29;;06/05/2026;07/05/2026;0
07/05/2026;FNAC DIRECT;CARD FNAC DIRECT COMPUTER DEMO;DEMO202605000439;EXCEPTIONAL DEMO TRANSACTION;Card Payment;Shopping & Services;Electronics;-689,90;;06/05/2026;07/05/2026;0
03/05/2026;LILAC RESIDENCE;SEPA TRANSFER RENT 2026-05;DEMO202605000387;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/05/2026;03/05/2026;0
03/05/2026;MONOPRIX;CARD MONOPRIX PURCHASE 020526;DEMO202605000399;;Card Payment;Food;Supermarket;-58,44;;02/05/2026;03/05/2026;0
28/04/2026;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2026-04;DEMO202604000363;NET SALARY 2026-04 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2980,00;28/04/2026;28/04/2026;0
27/04/2026;LIDL;CARD LIDL PURCHASE 260426;DEMO202604000380;;Card Payment;Food;Supermarket;-76,39;;26/04/2026;27/04/2026;0
26/04/2026;UBER;CARD UBER TRIP PURCHASE 250426;DEMO202604000384;;Card Payment;Transportation;Taxi & Ride-Hailing;-19,12;;25/04/2026;26/04/2026;0
24/04/2026;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2026-04;DEMO202604000373;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/04/2026;24/04/2026;0
23/04/2026;PIZZA ROMA;CARD PIZZA ROMA PURCHASE 220426;DEMO202604000382;;Card Payment;Food;Restaurants & Cafes;-36,25;;22/04/2026;23/04/2026;0
21/04/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2026-04;DEMO202604000372;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/04/2026;21/04/2026;0
21/04/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 200426;DEMO202604000379;;Card Payment;Food;Supermarket;-48,52;;20/04/2026;21/04/2026;0
19/04/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT 2026-04;DEMO202604000371;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/04/2026;19/04/2026;0
18/04/2026;BANK FEES;DEMO PACKAGE FEE;DEMO202604000374;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/04/2026;18/04/2026;0
18/04/2026;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202604000375;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/04/2026;18/04/2026;0
17/04/2026;NETFLIX;CARD NETFLIX 2026-04;DEMO202604000370;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/04/2026;17/04/2026;0
15/04/2026;MONOPRIX;CARD MONOPRIX PURCHASE 140426;DEMO202604000378;;Card Payment;Food;Supermarket;-82,71;;14/04/2026;15/04/2026;0
15/04/2026;SPOTIFY;CARD SPOTIFY 2026-04;DEMO202604000369;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/04/2026;15/04/2026;0
14/04/2026;DECATHLON;CARD DECATHLON PURCHASE 130426;DEMO202604000385;;Card Payment;Shopping & Services;Shopping & Services - Other;-58,36;;13/04/2026;14/04/2026;0
12/04/2026;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2026-04;DEMO202604000368;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/04/2026;12/04/2026;0
11/04/2026;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2026-04;DEMO202604000367;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/04/2026;11/04/2026;0
11/04/2026;UBER;CARD UBER TRIP PURCHASE 100426;DEMO202604000383;;Card Payment;Transportation;Taxi & Ride-Hailing;-10,05;;10/04/2026;11/04/2026;0
09/04/2026;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2026-04;DEMO202604000366;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/04/2026;09/04/2026;0
09/04/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 080426;DEMO202604000377;;Card Payment;Food;Supermarket;-51,91;;08/04/2026;09/04/2026;0
07/04/2026;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2026-04;DEMO202604000365;NEW DEMO ENERGY RATE;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-111,00;;07/04/2026;07/04/2026;0
07/04/2026;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 060426;DEMO202604000381;;Card Payment;Food;Restaurants & Cafes;-49,63;;06/04/2026;07/04/2026;0
03/04/2026;LILAC RESIDENCE;SEPA TRANSFER RENT 2026-04;DEMO202604000364;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/04/2026;03/04/2026;0
03/04/2026;MONOPRIX;CARD MONOPRIX PURCHASE 020426;DEMO202604000376;;Card Payment;Food;Supermarket;-78,45;;02/04/2026;03/04/2026;0
28/03/2026;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2026-03;DEMO202603000338;NET SALARY 2026-03 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2980,00;28/03/2026;28/03/2026;0
27/03/2026;LIDL;CARD LIDL PURCHASE 260326;DEMO202603000356;;Card Payment;Food;Supermarket;-107,76;;26/03/2026;27/03/2026;0
26/03/2026;UBER;CARD UBER TRIP PURCHASE 250326;DEMO202603000360;;Card Payment;Transportation;Taxi & Ride-Hailing;-20,65;;25/03/2026;26/03/2026;0
24/03/2026;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2026-03;DEMO202603000349;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/03/2026;24/03/2026;0
23/03/2026;CENTRAL BISTRO;CARD CENTRAL BISTRO PURCHASE 220326;DEMO202603000358;;Card Payment;Food;Restaurants & Cafes;-23,33;;22/03/2026;23/03/2026;0
21/03/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2026-03;DEMO202603000348;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/03/2026;21/03/2026;0
21/03/2026;LIDL;CARD LIDL PURCHASE 200326;DEMO202603000355;;Card Payment;Food;Supermarket;-80,63;;20/03/2026;21/03/2026;0
20/03/2026;FREELANCE ASSIGNMENT DEMO;SEPA TRANSFER FREELANCE ASSIGNMENT DEMO;DEMO202603000339;QUARTERLY ASSIGNMENT 2026-03;Incoming Bank Transfer;Salary & Income;Additional Income;;+793,73;20/03/2026;20/03/2026;0
19/03/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT 2026-03;DEMO202603000347;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/03/2026;19/03/2026;0
18/03/2026;BANK FEES;DEMO PACKAGE FEE;DEMO202603000350;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/03/2026;18/03/2026;0
18/03/2026;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202603000351;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/03/2026;18/03/2026;0
18/03/2026;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170326;DEMO202603000362;;Card Payment;Health & Wellness;Pharmacy;-12,95;;17/03/2026;18/03/2026;0
17/03/2026;NETFLIX;CARD NETFLIX 2026-03;DEMO202603000346;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/03/2026;17/03/2026;0
15/03/2026;GENERAL DIRECTORATE OF FINANCE;TRANSFER TAX REFUND DEMO;DEMO202603000438;EXCEPTIONAL DEMO TRANSACTION;Incoming Bank Transfer;Taxes & Duties;Refund;;+184,20;15/03/2026;15/03/2026;0
15/03/2026;MONOPRIX;CARD MONOPRIX PURCHASE 140326;DEMO202603000354;;Card Payment;Food;Supermarket;-73,74;;14/03/2026;15/03/2026;0
15/03/2026;SPOTIFY;CARD SPOTIFY 2026-03;DEMO202603000345;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/03/2026;15/03/2026;0
14/03/2026;AMAZON DEMO;CARD AMAZON DEMO PURCHASE 130326;DEMO202603000361;;Card Payment;Shopping & Services;Shopping & Services - Other;-116,68;;13/03/2026;14/03/2026;0
12/03/2026;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2026-03;DEMO202603000344;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/03/2026;12/03/2026;0
11/03/2026;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2026-03;DEMO202603000343;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/03/2026;11/03/2026;0
11/03/2026;UBER;CARD UBER TRIP PURCHASE 100326;DEMO202603000359;;Card Payment;Transportation;Taxi & Ride-Hailing;-25,32;;10/03/2026;11/03/2026;0
09/03/2026;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2026-03;DEMO202603000342;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/03/2026;09/03/2026;0
09/03/2026;MONOPRIX;CARD MONOPRIX PURCHASE 080326;DEMO202603000353;;Card Payment;Food;Supermarket;-74,44;;08/03/2026;09/03/2026;0
07/03/2026;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2026-03;DEMO202603000341;NEW DEMO ENERGY RATE;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-118,00;;07/03/2026;07/03/2026;0
07/03/2026;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 060326;DEMO202603000357;;Card Payment;Food;Restaurants & Cafes;-24,27;;06/03/2026;07/03/2026;0
03/03/2026;LILAC RESIDENCE;SEPA TRANSFER RENT 2026-03;DEMO202603000340;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/03/2026;03/03/2026;0
03/03/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 020326;DEMO202603000352;;Card Payment;Food;Supermarket;-99,53;;02/03/2026;03/03/2026;0
28/02/2026;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2026-02;DEMO202602000314;NET SALARY 2026-02 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2980,00;28/02/2026;28/02/2026;0
27/02/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 260226;DEMO202602000331;;Card Payment;Food;Supermarket;-94,88;;26/02/2026;27/02/2026;0
26/02/2026;UBER;CARD UBER TRIP PURCHASE 250226;DEMO202602000335;;Card Payment;Transportation;Taxi & Ride-Hailing;-27,62;;25/02/2026;26/02/2026;0
24/02/2026;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2026-02;DEMO202602000324;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/02/2026;24/02/2026;0
23/02/2026;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 220226;DEMO202602000333;;Card Payment;Food;Restaurants & Cafes;-47,28;;22/02/2026;23/02/2026;0
21/02/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2026-02;DEMO202602000323;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/02/2026;21/02/2026;0
21/02/2026;MONOPRIX;CARD MONOPRIX PURCHASE 200226;DEMO202602000330;;Card Payment;Food;Supermarket;-92,41;;20/02/2026;21/02/2026;0
19/02/2026;GROUP REFUND DEMO;SEPA TRANSFER GROUP REFUND DEMO;DEMO202602000337;FICTIONAL EXPENSE SHARING;Incoming Bank Transfer;Transfers;Reimbursement Between Friends & Family;;+60,51;19/02/2026;19/02/2026;0
19/02/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT 2026-02;DEMO202602000322;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/02/2026;19/02/2026;0
18/02/2026;BANK FEES;DEMO PACKAGE FEE;DEMO202602000325;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/02/2026;18/02/2026;0
18/02/2026;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202602000326;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/02/2026;18/02/2026;0
17/02/2026;NETFLIX;CARD NETFLIX 2026-02;DEMO202602000321;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/02/2026;17/02/2026;0
15/02/2026;MONOPRIX;CARD MONOPRIX PURCHASE 140226;DEMO202602000329;;Card Payment;Food;Supermarket;-79,12;;14/02/2026;15/02/2026;0
15/02/2026;SPOTIFY;CARD SPOTIFY 2026-02;DEMO202602000320;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/02/2026;15/02/2026;0
14/02/2026;FNAC DIRECT;CARD FNAC DIRECT PURCHASE 130226;DEMO202602000336;;Card Payment;Shopping & Services;Shopping & Services - Other;-111,46;;13/02/2026;14/02/2026;0
12/02/2026;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2026-02;DEMO202602000319;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/02/2026;12/02/2026;0
11/02/2026;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2026-02;DEMO202602000318;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/02/2026;11/02/2026;0
11/02/2026;UBER;CARD UBER TRIP PURCHASE 100226;DEMO202602000334;;Card Payment;Transportation;Taxi & Ride-Hailing;-12,51;;10/02/2026;11/02/2026;0
09/02/2026;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2026-02;DEMO202602000317;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/02/2026;09/02/2026;0
09/02/2026;LIDL;CARD LIDL PURCHASE 080226;DEMO202602000328;;Card Payment;Food;Supermarket;-41,72;;08/02/2026;09/02/2026;0
07/02/2026;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2026-02;DEMO202602000316;NEW DEMO ENERGY RATE;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-126,00;;07/02/2026;07/02/2026;0
07/02/2026;PIZZA ROMA;CARD PIZZA ROMA PURCHASE 060226;DEMO202602000332;;Card Payment;Food;Restaurants & Cafes;-18,64;;06/02/2026;07/02/2026;0
03/02/2026;LILAC RESIDENCE;SEPA TRANSFER RENT 2026-02;DEMO202602000315;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/02/2026;03/02/2026;0
03/02/2026;MONOPRIX;CARD MONOPRIX PURCHASE 020226;DEMO202602000327;;Card Payment;Food;Supermarket;-42,90;;02/02/2026;03/02/2026;0
28/01/2026;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2026-01;DEMO202601000290;NET SALARY 2026-01 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2980,00;28/01/2026;28/01/2026;0
27/01/2026;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 260126;DEMO202601000307;;Card Payment;Food;Supermarket;-89,79;;26/01/2026;27/01/2026;0
26/01/2026;UBER;CARD UBER TRIP PURCHASE 250126;DEMO202601000311;;Card Payment;Transportation;Taxi & Ride-Hailing;-14,86;;25/01/2026;26/01/2026;0
24/01/2026;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2026-01;DEMO202601000300;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/01/2026;24/01/2026;0
23/01/2026;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 220126;DEMO202601000309;;Card Payment;Food;Restaurants & Cafes;-26,30;;22/01/2026;23/01/2026;0
21/01/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2026-01;DEMO202601000299;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/01/2026;21/01/2026;0
21/01/2026;INTERMARCHE;CARD INTERMARCHE PURCHASE 200126;DEMO202601000306;;Card Payment;Food;Supermarket;-38,07;;20/01/2026;21/01/2026;0
19/01/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT 2026-01;DEMO202601000298;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/01/2026;19/01/2026;0
18/01/2026;BANK FEES;DEMO PACKAGE FEE;DEMO202601000301;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/01/2026;18/01/2026;0
18/01/2026;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202601000302;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/01/2026;18/01/2026;0
18/01/2026;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170126;DEMO202601000313;;Card Payment;Health & Wellness;Pharmacy;-39,83;;17/01/2026;18/01/2026;0
17/01/2026;NETFLIX;CARD NETFLIX 2026-01;DEMO202601000297;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/01/2026;17/01/2026;0
